#                                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#                ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
NODE_53_length_12473_cov_7.380254_11 -          TIGR00006            TIGR00006    1.4e-87  291.2   0.0   1.6e-87  290.9   0.0   1.0   1   0   0   1   1   1   1 # 11409 # 12416 # 1 # ID=51_11;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.599
NODE_18_length_18726_cov_7.114188_13 -          TIGR00019            TIGR00019   8.7e-127  420.0   0.2    1e-126  419.8   0.2   1.0   1   0   0   1   1   1   1 # 14393 # 15478 # 1 # ID=18_13;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.583
NODE_185_length_4932_cov_7.052491_1 -          TIGR00020            TIGR00020   1.2e-155  515.1   1.6  1.4e-155  514.9   1.6   1.0   1   0   0   1   1   1   1 # 256 # 1362 # 1 # ID=177_1;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.581
NODE_17_length_18968_cov_7.298578_7 -          TIGR00029            TIGR00029    5.9e-24   81.5  15.8   6.5e-24   81.4  15.8   1.0   1   0   0   1   1   1   1 # 8084 # 8350 # 1 # ID=17_7;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.614
NODE_36_length_14504_cov_7.170531_1 -          TIGR00043            TIGR00043    5.5e-18   62.2   0.0   5.9e-18   62.1   0.0   1.0   1   0   0   1   1   1   1 # 1 # 237 # 1 # ID=35_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.599
NODE_3_length_29628_cov_7.105637_11 -          TIGR00054            TIGR00054    1.1e-41  140.2   0.6   6.9e-25   84.8   2.1   3.1   1   1   0   2   2   1   1 # 9976 # 11256 # -1 # ID=3_11;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.593
NODE_33_length_14887_cov_7.551645_14 -          TIGR00059            TIGR00059    3.6e-36  121.0   0.1   5.4e-36  120.5   0.1   1.2   1   0   0   1   1   1   1 # 10264 # 10827 # 1 # ID=32_14;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.652
NODE_174_length_5377_cov_7.224915_4 -          TIGR00061            TIGR00061      6e-26   87.9   3.4   6.7e-26   87.8   3.4   1.0   1   0   0   1   1   1   1 # 4449 # 4757 # 1 # ID=166_4;partial=00;start_type=GTG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.618
NODE_48_length_13036_cov_7.543256_3 -          TIGR00064            TIGR00064   1.8e-102  339.4   0.8  2.1e-102  339.2   0.8   1.1   1   0   0   1   1   1   1 # 1052 # 2242 # 1 # ID=47_3;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.619
NODE_31_length_15212_cov_7.101999_11 -          TIGR00065            TIGR00065     6e-131  434.0   9.0  8.2e-131  433.6   9.0   1.1   1   0   0   1   1   1   1 # 12584 # 13837 # 1 # ID=30_11;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.609
